                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8894,                 3.2035,                 3.7574,                0.19128,                0.32014,                 0.1386,                0.03659,                 2.4321,                 3.3014,                 3.3317,             0.00066393,             0.00066393,             0.00066393
                      2,                 2.0953,                 2.4225,                 2.7162,                0.38408,                  0.478,                0.37575,                0.14715,                 1.9001,                 3.5924,                 2.6535,              0.0013141,              0.0013141,              0.0013141
                      3,                 1.7587,                 1.9417,                 2.3002,                0.60564,                0.54065,                0.54204,                0.18021,                 2.2529,                 2.3752,                  3.073,              0.0019478,              0.0019478,              0.0019478
                      4,                 1.5958,                 1.6853,                 2.1239,                0.73777,                0.61904,                0.68459,                0.33125,                 1.7265,                 1.7471,                 2.3569,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.4572,                 1.5146,                 1.9848,                0.74333,                0.65554,                0.71692,                0.30034,                 1.7839,                 1.6474,                 2.4356,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.3651,                 1.3946,                 1.8802,                0.79136,                0.71369,                0.79024,                0.40762,                  1.627,                 1.3715,                 2.2533,               0.001901,               0.001901,               0.001901
                      7,                 1.3009,                 1.2959,                 1.8208,                 0.8848,                 0.6993,                0.80588,                0.43615,                 1.5315,                 1.2834,                  2.163,              0.0018763,              0.0018763,              0.0018763
                      8,                 1.2551,                 1.2373,                 1.7762,                0.86941,                0.72737,                0.84306,                0.35338,                 1.8853,                 1.2788,                  2.499,              0.0018515,              0.0018515,              0.0018515
                      9,                 1.1979,                 1.1678,                 1.7266,                0.79036,                0.72382,                0.78723,                0.36589,                 1.7279,                 1.3224,                 2.2602,              0.0018267,              0.0018267,              0.0018267
                     10,                 1.1767,                 1.1311,                 1.7006,                 0.9027,                0.77431,                0.87259,                0.53608,                 1.2746,                 1.0645,                 1.8546,               0.001802,               0.001802,               0.001802
